<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.SNGS:SMAL;D;20170103;000000;31.3550000;31.9250000;31.3550000;31.9250000;130
MOEX.SNGS:SMAL;D;20170104;000000;31.5350000;31.5350000;31.5300000;31.5300000;36
MOEX.SNGS:SMAL;D;20170105;000000;31.4950000;31.4950000;31.4950000;31.4950000;40
MOEX.SNGS:SMAL;D;20170106;000000;31.6900000;31.6900000;31.2050000;31.2050000;178
MOEX.SNGS:SMAL;D;20170110;000000;31.0950000;31.4250000;31.0950000;31.4250000;38
MOEX.SNGS:SMAL;D;20170111;000000;31.0450000;31.0450000;31.0400000;31.0400000;19
MOEX.SNGS:SMAL;D;20170112;000000;31.4650000;31.4650000;31.0250000;31.0250000;56
MOEX.SNGS:SMAL;D;20170113;000000;31.3950000;31.3950000;31.1300000;31.1300000;126
MOEX.SNGS:SMAL;D;20170117;000000;31.5200000;31.5250000;31.0750000;31.0750000;20
MOEX.SNGS:SMAL;D;20170118;000000;31.3300000;31.3300000;31.3300000;31.3300000;7
MOEX.SNGS:SMAL;D;20170119;000000;30.9700000;31.5050000;30.9700000;31.5050000;86
MOEX.SNGS:SMAL;D;20170123;000000;30.8650000;30.8650000;30.8500000;30.8500000;43
MOEX.SNGS:SMAL;D;20170124;000000;31.0050000;31.4500000;31.0050000;31.4500000;112
MOEX.SNGS:SMAL;D;20170125;000000;31.2700000;31.7550000;31.2650000;31.7550000;59
MOEX.SNGS:SMAL;D;20170127;000000;32.8900000;32.8900000;32.3400000;32.3400000;43
MOEX.SNGS:SMAL;D;20170131;000000;32.3550000;32.6000000;32.2500000;32.2500000;77
MOEX.SNGS:SMAL;D;20170201;000000;32.2400000;32.4500000;32.0600000;32.4500000;49
MOEX.SNGS:SMAL;D;20170202;000000;32.0550000;32.3200000;31.9050000;31.9050000;84
MOEX.SNGS:SMAL;D;20170203;000000;32.2950000;32.6950000;32.2950000;32.5750000;96
MOEX.SNGS:SMAL;D;20170206;000000;32.5850000;32.6050000;32.5850000;32.6050000;32
MOEX.SNGS:SMAL;D;20170207;000000;32.3550000;32.9750000;32.3550000;32.9750000;99
MOEX.SNGS:SMAL;D;20170208;000000;32.6100000;32.6200000;32.2300000;32.2300000;39
MOEX.SNGS:SMAL;D;20170209;000000;32.1950000;32.5950000;32.1950000;32.5950000;99
MOEX.SNGS:SMAL;D;20170210;000000;31.8800000;32.4900000;31.8400000;32.4900000;38
MOEX.SNGS:SMAL;D;20170213;000000;32.2050000;32.2050000;31.4450000;31.6900000;231
MOEX.SNGS:SMAL;D;20170214;000000;32.2050000;32.2050000;31.5900000;31.5900000;142
MOEX.SNGS:SMAL;D;20170217;000000;31.7400000;31.8000000;31.5000000;31.5000000;57
MOEX.SNGS:SMAL;D;20170220;000000;31.6650000;31.6650000;31.4700000;31.6650000;78
MOEX.SNGS:SMAL;D;20170221;000000;31.4600000;31.4600000;31.3700000;31.3700000;20
MOEX.SNGS:SMAL;D;20170222;000000;31.0000000;31.0000000;30.3200000;30.6400000;260
MOEX.SNGS:SMAL;D;20170224;000000;30.4500000;30.7450000;30.4500000;30.7450000;50
MOEX.SNGS:SMAL;D;20170227;000000;30.4300000;30.4300000;29.7200000;30.1150000;209
MOEX.SNGS:SMAL;D;20170228;000000;29.7200000;30.0000000;29.1400000;29.3000000;303
MOEX.SNGS:SMAL;D;20170301;000000;29.5800000;29.7000000;29.3100000;29.7000000;113
MOEX.SNGS:SMAL;D;20170302;000000;29.7100000;30.1050000;29.7100000;30.1050000;187
MOEX.SNGS:SMAL;D;20170303;000000;29.9950000;29.9950000;29.9950000;29.9950000;58
MOEX.SNGS:SMAL;D;20170306;000000;29.3800000;29.4050000;29.3700000;29.4050000;132
MOEX.SNGS:SMAL;D;20170307;000000;29.6650000;29.6700000;29.6650000;29.6700000;22
MOEX.SNGS:SMAL;D;20170309;000000;29.2000000;29.2000000;27.1000000;27.1000000;65
MOEX.SNGS:SMAL;D;20170310;000000;29.4950000;29.4950000;28.0150000;28.0150000;55
MOEX.SNGS:SMAL;D;20170313;000000;28.9950000;28.9950000;28.3100000;28.3100000;107
MOEX.SNGS:SMAL;D;20170315;000000;28.7800000;28.9800000;28.1550000;28.1850000;131
MOEX.SNGS:SMAL;D;20170316;000000;28.8000000;28.8000000;28.8000000;28.8000000;4
MOEX.SNGS:SMAL;D;20170317;000000;28.4250000;28.7500000;28.4250000;28.6350000;50
MOEX.SNGS:SMAL;D;20170320;000000;29.0050000;29.3900000;29.0050000;29.3900000;96
MOEX.SNGS:SMAL;D;20170321;000000;29.3250000;30.0300000;29.3250000;30.0300000;94
MOEX.SNGS:SMAL;D;20170322;000000;29.9000000;29.9000000;29.9000000;29.9000000;45
MOEX.SNGS:SMAL;D;20170323;000000;29.3550000;29.3950000;29.3350000;29.3900000;155
MOEX.SNGS:SMAL;D;20170324;000000;29.1950000;29.1950000;29.1650000;29.1650000;50
MOEX.SNGS:SMAL;D;20170327;000000;28.5450000;28.5450000;28.5450000;28.5450000;20
MOEX.SNGS:SMAL;D;20170328;000000;28.8000000;28.8000000;28.7950000;28.8000000;66
MOEX.SNGS:SMAL;D;20170329;000000;28.8300000;29.2450000;28.8300000;29.2450000;174
MOEX.SNGS:SMAL;D;20170330;000000;28.9600000;28.9600000;28.9600000;28.9600000;34
MOEX.SNGS:SMAL;D;20170331;000000;29.3200000;29.3400000;28.7700000;29.2850000;246
MOEX.SNGS:SMAL;D;20170403;000000;28.8450000;29.1700000;28.8400000;29.1700000;67
MOEX.SNGS:SMAL;D;20170404;000000;28.9650000;28.9650000;28.9650000;28.9650000;9
MOEX.SNGS:SMAL;D;20170405;000000;29.4350000;29.4350000;29.4350000;29.4350000;3
MOEX.SNGS:SMAL;D;20170406;000000;29.7450000;29.9000000;29.7450000;29.9000000;81
MOEX.SNGS:SMAL;D;20170407;000000;29.3650000;29.3650000;29.3650000;29.3650000;31
MOEX.SNGS:SMAL;D;20170410;000000;28.4100000;28.4100000;28.4100000;28.4100000;48
MOEX.SNGS:SMAL;D;20170411;000000;28.2050000;28.6050000;28.2050000;28.6050000;85
MOEX.SNGS:SMAL;D;20170412;000000;27.8600000;27.8600000;27.0050000;27.0050000;50
MOEX.SNGS:SMAL;D;20170413;000000;26.7200000;27.4400000;26.7050000;27.2000000;210
MOEX.SNGS:SMAL;D;20170418;000000;27.4400000;27.4400000;26.9000000;27.3750000;102
MOEX.SNGS:SMAL;D;20170419;000000;26.9950000;26.9950000;26.3150000;26.6100000;69
MOEX.SNGS:SMAL;D;20170420;000000;26.0050000;26.0050000;26.0050000;26.0050000;37
MOEX.SNGS:SMAL;D;20170424;000000;26.4900000;27.2350000;26.4850000;27.0200000;109
MOEX.SNGS:SMAL;D;20170425;000000;26.8450000;27.7800000;25.5500000;27.7800000;188
MOEX.SNGS:SMAL;D;20170426;000000;27.5050000;28.3850000;26.1150000;28.3850000;303
MOEX.SNGS:SMAL;D;20170427;000000;28.3950000;28.3950000;28.2350000;28.2350000;59
MOEX.SNGS:SMAL;D;20170428;000000;28.5000000;28.5100000;28.0500000;28.1000000;19
MOEX.SNGS:SMAL;D;20170502;000000;28.5400000;28.6300000;28.1700000;28.1850000;109
MOEX.SNGS:SMAL;D;20170503;000000;29.1950000;29.1950000;28.7100000;28.7100000;83
MOEX.SNGS:SMAL;D;20170504;000000;28.0000000;28.8950000;28.0000000;28.3700000;21
MOEX.SNGS:SMAL;D;20170510;000000;28.8800000;29.1200000;28.1050000;29.1200000;102
MOEX.SNGS:SMAL;D;20170511;000000;28.1300000;29.0000000;28.1050000;28.3500000;124
MOEX.SNGS:SMAL;D;20170512;000000;28.9950000;28.9950000;28.9950000;28.9950000;100
MOEX.SNGS:SMAL;D;20170515;000000;27.7800000;28.2600000;27.6050000;28.2600000;4
MOEX.SNGS:SMAL;D;20170516;000000;28.1950000;28.1950000;28.1150000;28.1250000;31
MOEX.SNGS:SMAL;D;20170518;000000;27.7450000;27.7450000;27.7450000;27.7450000;2
MOEX.SNGS:SMAL;D;20170519;000000;27.3700000;27.3700000;27.3700000;27.3700000;1
MOEX.SNGS:SMAL;D;20170523;000000;27.2050000;27.8100000;25.4150000;27.8100000;120
MOEX.SNGS:SMAL;D;20170525;000000;28.7300000;29.1750000;28.7200000;29.0450000;100
MOEX.SNGS:SMAL;D;20170526;000000;29.5750000;29.5800000;29.5750000;29.5800000;23
MOEX.SNGS:SMAL;D;20170529;000000;31.2100000;31.2100000;31.2100000;31.2100000;19
MOEX.SNGS:SMAL;D;20170530;000000;31.0250000;31.2000000;31.0250000;31.2000000;68
MOEX.SNGS:SMAL;D;20170531;000000;30.6650000;31.0000000;29.9800000;29.9800000;109
MOEX.SNGS:SMAL;D;20170601;000000;27.6850000;27.6900000;27.6850000;27.6900000;27
MOEX.SNGS:SMAL;D;20170602;000000;26.4450000;27.2900000;26.3400000;27.2900000;128
MOEX.SNGS:SMAL;D;20170605;000000;27.2900000;27.3000000;26.4300000;26.8800000;115
MOEX.SNGS:SMAL;D;20170606;000000;27.2100000;27.2200000;26.3900000;26.9750000;136
MOEX.SNGS:SMAL;D;20170607;000000;27.2500000;27.2950000;26.7800000;26.7800000;9
MOEX.SNGS:SMAL;D;20170608;000000;26.7350000;26.7350000;25.9100000;25.9100000;89
MOEX.SNGS:SMAL;D;20170609;000000;25.8800000;25.8800000;25.8800000;25.8800000;20
MOEX.SNGS:SMAL;D;20170614;000000;25.2300000;25.2600000;25.1300000;25.1300000;27
MOEX.SNGS:SMAL;D;20170615;000000;24.9700000;24.9700000;24.6000000;24.6600000;46
MOEX.SNGS:SMAL;D;20170616;000000;25.1000000;25.1000000;23.9500000;24.6350000;333
MOEX.SNGS:SMAL;D;20170619;000000;24.3400000;24.8550000;24.3150000;24.7500000;139
MOEX.SNGS:SMAL;D;20170620;000000;25.4800000;25.8800000;25.4800000;25.8800000;103
MOEX.SNGS:SMAL;D;20170621;000000;26.1750000;26.1750000;25.6450000;25.6450000;26
MOEX.SNGS:SMAL;D;20170622;000000;26.1750000;26.1750000;25.6600000;25.6600000;33
MOEX.SNGS:SMAL;D;20170623;000000;26.1150000;26.1150000;25.3650000;25.3650000;15
MOEX.SNGS:SMAL;D;20170626;000000;25.7600000;25.7600000;25.1200000;25.1500000;70
MOEX.SNGS:SMAL;D;20170628;000000;25.6050000;26.1200000;25.6000000;26.1200000;159
MOEX.SNGS:SMAL;D;20170629;000000;25.6050000;25.8850000;25.6000000;25.8800000;117
MOEX.SNGS:SMAL;D;20170630;000000;26.0350000;26.0600000;25.2250000;25.2250000;84
MOEX.SNGS:SMAL;D;20170703;000000;26.3300000;26.3300000;26.3300000;26.3300000;1
MOEX.SNGS:SMAL;D;20170704;000000;26.8800000;26.8850000;26.3050000;26.5500000;257
MOEX.SNGS:SMAL;D;20170705;000000;26.8900000;26.8900000;26.6250000;26.6250000;44
MOEX.SNGS:SMAL;D;20170706;000000;26.6000000;26.6000000;26.3000000;26.3000000;52
MOEX.SNGS:SMAL;D;20170707;000000;26.3000000;26.5300000;25.8250000;26.5300000;77
MOEX.SNGS:SMAL;D;20170710;000000;26.3900000;26.3900000;26.1350000;26.1350000;12
MOEX.SNGS:SMAL;D;20170711;000000;25.9250000;26.5950000;25.9200000;26.3350000;83
MOEX.SNGS:SMAL;D;20170712;000000;26.8950000;26.8950000;26.8950000;26.8950000;1
MOEX.SNGS:SMAL;D;20170713;000000;26.7500000;26.7500000;26.7500000;26.7500000;49
